year, total, anglo, black, hispanic, other 
1990,2818199,1532412,529572,645504,110711 
1991,2884993,1550474,540822,677573,116124 
1992,2944348,1564959,549974,707848,121567 
1993,3003167,1578485,558947,738747,126988 
1994,3039460,1586614,566154,757894,128798 
1995,3069359,1593397,572537,773856,129569 
1996,3117376,1602774,579492,801543,133567 
1997,3157875,1609134,586038,826420,136283 
1998,3204720,1617733,593292,853783,139912 
1999,3251550,1625727,600450,882039,143334 
2000,3400578,1456811,630184,1119751,193832 
2001,3461662,1436782,636191,1184181,204508 
2002,3540965,1425264,645210,1254274,216217 
2003,3590921,1399824,648364,1315958,226775 
2004,3645275,1374353,651851,1381191,237880 
2005,3693816,1346146,653246,1445913,248511 
2006,3830130,1335213,723873,1511155,259889 
2007,3891420,1309020,726346,1583992,272062 
2008,3965716,1284964,730889,1664403,285460 
2009,4044032,1262951,735083,1746864,299134 
2010,4092459,1349646,754258,1671540,317015 
2011,4176764,1342077,766888,1737235,330564 
2012,4245204,1353279,777936,1777136,336853 
2013,4325413,1328399,787526,1851606,357882 
2014,4391445,1318226,795556,1907830,369833 
2015,4471427,1309800,805768,1970989,384870 
2016,4551437,1301030,815405,2035480,399522 
2017,4633511,1291892,824757,2101568,415294 
2018,4716479,1282079,834180,2168974,431246 
